Jimi;jimi;jimi;adres 1;1181NN;jimi@gmail.com;
Cindy;jong;cindy;staat 3;4696JJ;viddrawings@gmail.com;
Ingrid;ingrid;ingrid;straat 5;GHJJ:ingrid@gmail.com;
Rob;rob;robby;straat 6;$%^&*(;rob@hotmail.com;
Rik;rik;rikky;straat 2;jbrgjkwhegh;rik@test.com;
Mounia;mounia;test;straat 3;&**HH;mounia@outlook.com;
Rory;rory;testtest;straat 4;FGHJ99;test@testtest.com;
Danielle;danielle;hallo;straat 4;HG55;test@test.com;
Martin;martin;mart;straat 77;KKKK88;test@test.com;
1234;annette;1234;annette;3746KK;1234;
